"bodyfat","age","weight","height","neck","chest","abdomen","hip","thigh","knee","ankle","biceps","forearm","wrist"
0.119,0.32,1.82,0.7375,0.387,1.005,0.887,0.998,0.575,0.387,0.339,0.325,0.277,0.184
0.057,0.29,1.6025,0.7125,0.373,0.935,0.845,1.006,0.585,0.388,0.215,0.301,0.264,0.179
0.118,0.27,1.68,0.7125,0.381,0.93,0.791,0.945,0.573,0.362,0.245,0.29,0.3,0.188
0.213,0.41,2.185,0.71,0.398,1.117,1.005,1.083,0.671,0.442,0.252,0.375,0.315,0.187
0.323,0.41,2.4725,0.735,0.421,1.17,1.156,1.161,0.712,0.433,0.263,0.373,0.317,0.197
0.401,0.49,1.9175,0.65,0.384,1.185,1.131,1.138,0.619,0.383,0.219,0.32,0.298,0.17
0.242,0.4,2.0225,0.7,0.385,1.065,1.009,1.062,0.635,0.399,0.226,0.351,0.306,0.19
0.284,0.5,1.9675,0.6825,0.421,1.056,0.988,1.048,0.66,0.415,0.247,0.332,0.305,0.194
0.352,0.46,3.6315,0.7225,0.512,1.362,1.481,1.477,0.873,0.491,0.296,0.45,0.29,0.214
0.326,0.5,2.03,0.67,0.402,1.148,1.081,1.025,0.613,0.411,0.247,0.341,0.31,0.183
0.345,0.45,2.6275,0.6875,0.432,1.283,1.262,1.256,0.725,0.396,0.266,0.364,0.327,0.214
0.329,0.44,2.05,0.295,0.366,1.06,1.043,1.155,0.706,0.425,0.237,0.336,0.287,0.174
0.316,0.48,2.17,0.7,0.373,1.133,1.112,1.141,0.677,0.409,0.25,0.367,0.298,0.184
0.32,0.41,2.12,0.715,0.415,1.066,1.043,1.06,0.65,0.402,0.23,0.358,0.315,0.188
0.077,0.39,1.2525,0.68,0.315,0.851,0.76,0.882,0.5,0.347,0.21,0.261,0.231,0.161
0.139,0.43,1.6425,0.7325,0.357,0.966,0.815,0.972,0.584,0.382,0.234,0.297,0.274,0.183
0.108,0.4,1.335,0.675,0.336,0.882,0.737,0.885,0.533,0.345,0.225,0.279,0.262,0.173
0.056,0.39,1.485,0.7125,0.346,0.898,0.795,0.927,0.527,0.375,0.219,0.288,0.268,0.179
0.136,0.45,1.3575,0.685,0.328,0.923,0.834,0.904,0.52,0.358,0.206,0.288,0.255,0.163
0.04,0.47,1.275,0.6675,0.34,0.834,0.704,0.872,0.506,0.344,0.219,0.268,0.258,0.168
0.102,0.47,1.5825,0.7225,0.349,0.902,0.867,0.983,0.526,0.372,0.224,0.26,0.258,0.173
0.066,0.4,1.3925,0.69,0.343,0.892,0.779,0.91,0.514,0.349,0.21,0.267,0.261,0.172
0.08,0.51,1.3725,0.6775,0.365,0.897,0.82,0.891,0.493,0.337,0.214,0.296,0.26,0.169
0.063,0.49,1.5275,0.735,0.351,0.933,0.796,0.916,0.526,0.376,0.226,0.385,0.274,0.185
0.039,0.42,1.3625,0.675,0.378,0.876,0.776,0.886,0.519,0.349,0.225,0.277,0.275,0.185
0.226,0.54,1.98,0.72,0.399,1.076,1,0.996,0.572,0.38,0.22,0.359,0.302,0.189
0.204,0.58,1.815,0.68,0.391,1,0.998,1.025,0.621,0.396,0.225,0.331,0.283,0.185
0.28,0.62,2.0125,0.695,0.405,1.115,1.042,1.058,0.618,0.398,0.227,0.377,0.309,0.192
0.315,0.54,2.025,0.7075,0.405,1.154,1.053,0.97,0.591,0.38,0.225,0.316,0.288,0.182
0.246,0.61,1.7975,0.6575,0.384,1.048,0.983,0.996,0.606,0.377,0.229,0.345,0.296,0.185
0.261,0.62,2.16,0.7325,0.414,1.123,1.048,1.031,0.616,0.409,0.231,0.362,0.318,0.202
0.298,0.56,1.7875,0.685,0.356,1.029,0.947,1.008,0.609,0.38,0.221,0.325,0.298,0.183
0.307,0.54,1.9325,0.7025,0.38,1.076,1.024,0.994,0.61,0.394,0.236,0.327,0.299,0.191
0.258,0.61,1.78,0.67,0.374,1.053,0.997,0.997,0.608,0.401,0.227,0.336,0.29,0.188
0.323,0.57,2.055,0.7,0.401,1.053,1.055,1.083,0.65,0.412,0.247,0.353,0.311,0.184
0.3,0.55,1.835,0.675,0.409,1.03,1.003,1.042,0.648,0.402,0.227,0.348,0.301,0.187
0.215,0.54,1.515,0.7075,0.356,0.9,0.839,0.939,0.55,0.361,0.217,0.296,0.274,0.174
0.138,0.55,1.5475,0.715,0.369,0.954,0.866,0.918,0.543,0.354,0.215,0.328,0.274,0.187
0.063,0.54,1.5525,0.6925,0.375,0.893,0.784,0.961,0.56,0.374,0.224,0.326,0.281,0.181
0.129,0.55,1.5675,0.715,0.363,0.944,0.846,0.943,0.512,0.374,0.216,0.273,0.271,0.173
0.243,0.62,1.675,0.715,0.355,0.976,0.915,0.985,0.566,0.386,0.224,0.315,0.273,0.186
0.088,0.55,1.4675,0.6875,0.387,0.885,0.828,0.955,0.589,0.376,0.216,0.303,0.273,0.183
0.085,0.56,1.6075,0.7375,0.364,0.936,0.829,0.963,0.529,0.375,0.231,0.297,0.273,0.182
0.135,0.55,1.25,0.64,0.332,0.877,0.76,0.886,0.509,0.354,0.191,0.293,0.257,0.169
0.118,0.61,1.43,0.6575,0.365,0.934,0.833,0.93,0.555,0.352,0.209,0.294,0.27,0.168
0.185,0.61,1.4825,0.675,0.36,0.916,0.818,0.948,0.545,0.37,0.214,0.293,0.27,0.183
0.088,0.57,1.625,0.695,0.387,0.916,0.788,0.943,0.567,0.397,0.242,0.302,0.292,0.181
0.222,0.69,1.7775,0.685,0.387,1.02,0.95,0.983,0.55,0.383,0.218,0.308,0.257,0.188
0.215,0.81,1.6125,0.7025,0.378,0.964,0.954,0.993,0.535,0.375,0.215,0.314,0.268,0.183
0.188,0.66,1.7125,0.6925,0.374,1.027,0.986,1.002,0.565,0.393,0.227,0.303,0.287,0.19
0.314,0.67,1.6375,0.6775,0.384,0.977,0.958,0.971,0.548,0.382,0.237,0.294,0.272,0.19
0.268,0.64,1.5025,0.6725,0.381,0.971,0.89,0.969,0.548,0.38,0.22,0.299,0.252,0.177
0.184,0.64,1.9025,0.7275,0.393,1.031,0.978,0.996,0.589,0.39,0.23,0.343,0.296,0.19
0.27,0.7,1.7075,0.7,0.387,1.018,0.949,0.95,0.56,0.365,0.241,0.312,0.273,0.192
0.27,0.72,1.68,0.6925,0.385,1.014,0.998,0.962,0.563,0.366,0.22,0.297,0.263,0.18
0.266,0.67,1.67,0.675,0.365,0.989,0.897,0.962,0.547,0.378,0.337,0.324,0.277,0.182
0.149,0.72,1.5775,0.6725,0.377,0.975,0.881,0.969,0.572,0.377,0.218,0.326,0.28,0.188
0.231,0.64,1.6,0.6575,0.365,1.043,0.909,0.938,0.578,0.395,0.233,0.292,0.284,0.181
0.083,0.46,1.7675,0.725,0.38,0.973,0.86,0.993,0.61,0.384,0.238,0.302,0.293,0.188
0.141,0.48,1.76,0.73,0.367,0.967,0.865,0.983,0.604,0.399,0.244,0.288,0.296,0.187
0.205,0.46,1.77,0.7,0.372,0.997,0.956,1.022,0.583,0.382,0.225,0.291,0.277,0.177
0.182,0.44,1.7975,0.695,0.392,1.019,0.932,1.006,0.589,0.397,0.231,0.314,0.284,0.188
0.085,0.47,1.6525,0.705,0.375,0.972,0.831,0.954,0.569,0.383,0.221,0.301,0.282,0.184
0.249,0.46,1.925,0.7175,0.38,1.066,0.975,1.006,0.589,0.405,0.245,0.333,0.296,0.191
0.09,0.47,1.8425,0.745,0.373,0.996,0.888,1.014,0.574,0.396,0.246,0.303,0.279,0.178
0.174,0.53,2.245,0.7775,0.411,1.132,0.992,1.075,0.617,0.423,0.232,0.329,0.308,0.204
0.096,0.38,1.8875,0.7325,0.375,0.991,0.916,1.024,0.606,0.394,0.229,0.316,0.301,0.185
0.113,0.5,1.625,0.665,0.387,0.994,0.867,0.962,0.621,0.393,0.233,0.306,0.278,0.182
0.178,0.46,1.565,0.6825,0.359,0.951,0.882,0.928,0.547,0.373,0.219,0.316,0.275,0.182
0.222,0.47,1.97,0.72,0.4,1.075,0.94,1.037,0.627,0.39,0.223,0.353,0.309,0.183
0.212,0.49,1.985,0.735,0.401,1.065,0.95,1.017,0.59,0.394,0.223,0.322,0.31,0.186
0.204,0.48,1.7375,0.72,0.37,0.991,0.92,0.983,0.593,0.384,0.224,0.279,0.262,0.17
0.201,0.41,1.7275,0.7125,0.363,0.967,0.892,0.983,0.6,0.384,0.232,0.31,0.292,0.184
0.223,0.49,1.9675,0.7375,0.407,1.035,0.955,1.016,0.591,0.398,0.254,0.31,0.303,0.197
0.254,0.43,1.77,0.6925,0.396,1.04,0.986,0.995,0.595,0.361,0.22,0.301,0.272,0.177
0.18,0.43,1.655,0.685,0.311,0.931,0.873,0.966,0.547,0.39,0.248,0.31,0.294,0.188
0.193,0.43,2.0025,0.735,0.386,1.052,1.028,1.036,0.612,0.393,0.235,0.305,0.285,0.181
0.183,0.52,2.0325,0.7425,0.42,1.1,1.016,1.007,0.558,0.387,0.234,0.351,0.296,0.191
0.173,0.43,1.94,0.755,0.385,1.101,0.887,1.021,0.575,0.4,0.248,0.351,0.307,0.192
0.214,0.4,1.685,0.6925,0.342,0.978,0.923,1.006,0.575,0.368,0.228,0.321,0.26,0.173
0.197,0.43,1.7075,0.685,0.372,0.963,0.906,0.993,0.619,0.38,0.223,0.333,0.282,0.181
0.28,0.43,1.8325,0.7,0.371,1.08,1.05,1.03,0.637,0.4,0.236,0.335,0.278,0.174
0.221,0.47,1.7825,0.7,0.402,0.997,0.95,0.986,0.623,0.381,0.239,0.353,0.311,0.198
0.213,0.42,1.63,0.7025,0.353,0.935,0.896,0.998,0.615,0.378,0.219,0.307,0.276,0.174
0.267,0.48,1.7525,0.7175,0.38,1.007,0.924,0.975,0.593,0.381,0.218,0.318,0.273,0.175
0.167,0.4,1.58,0.6925,0.363,0.97,0.866,0.926,0.559,0.363,0.221,0.298,0.263,0.173
0.201,0.48,1.7725,0.7275,0.368,0.96,0.9,0.997,0.588,0.384,0.228,0.299,0.28,0.181
0.139,0.51,1.79,0.72,0.41,0.992,0.9,0.964,0.568,0.388,0.233,0.334,0.298,0.195
0.258,0.4,1.91,0.74,0.383,0.954,0.924,1.043,0.646,0.411,0.248,0.336,0.295,0.185
0.181,0.44,1.875,0.7225,0.38,1.018,0.875,1.01,0.585,0.392,0.245,0.321,0.286,0.18
0.279,0.52,2.065,0.745,0.408,1.043,0.992,1.041,0.585,0.393,0.246,0.339,0.312,0.195
0.253,0.44,1.8525,0.715,0.395,0.992,0.981,1.014,0.571,0.405,0.232,0.33,0.296,0.184
0.147,0.4,1.6025,0.6875,0.369,0.993,0.833,0.975,0.605,0.387,0.226,0.344,0.28,0.176
0.16,0.47,1.515,0.6675,0.369,0.94,0.861,0.952,0.581,0.365,0.221,0.306,0.275,0.176
0.138,0.5,1.61,0.665,0.377,0.989,0.841,0.94,0.585,0.366,0.235,0.344,0.292,0.18
0.175,0.46,1.67,0.67,0.366,1.01,0.899,1,0.607,0.36,0.219,0.356,0.302,0.176
0.272,0.42,1.775,0.6875,0.389,0.987,0.921,0.985,0.607,0.368,0.222,0.338,0.303,0.172
0.174,0.43,1.5225,0.6775,0.375,0.959,0.78,0.932,0.535,0.358,0.208,0.339,0.282,0.174
0.208,0.4,1.9225,0.7325,0.398,1.039,0.935,0.995,0.617,0.39,0.218,0.333,0.296,0.181
0.149,0.42,1.6525,0.6975,0.383,0.962,0.87,0.978,0.574,0.369,0.222,0.316,0.278,0.177
0.181,0.49,1.7175,0.715,0.355,0.978,0.901,0.958,0.57,0.387,0.232,0.275,0.265,0.176
0.227,0.4,1.7125,0.705,0.363,0.946,0.903,0.991,0.603,0.385,0.23,0.312,0.284,0.171
0.236,0.47,1.97,0.7325,0.378,1.036,0.998,1.032,0.612,0.381,0.226,0.335,0.286,0.179
0.261,0.5,1.57,0.6675,0.378,1.004,0.894,0.923,0.561,0.356,0.205,0.336,0.293,0.173
0.244,0.41,1.6825,0.695,0.365,0.984,0.872,0.984,0.56,0.369,0.23,0.34,0.298,0.181
0.271,0.44,1.86,0.6975,0.378,1.046,1.011,1.021,0.589,0.379,0.227,0.309,0.288,0.176
0.218,0.39,1.6675,0.7075,0.37,0.929,0.861,0.956,0.588,0.361,0.224,0.327,0.283,0.171
0.294,0.43,1.8775,0.74,0.377,0.978,0.986,1.006,0.636,0.392,0.238,0.343,0.284,0.177
0.224,0.4,1.6825,0.7125,0.343,0.983,0.885,0.983,0.581,0.384,0.225,0.317,0.274,0.176
0.204,0.49,2.1275,0.75,0.408,1.047,1.066,1.077,0.665,0.425,0.245,0.355,0.298,0.187
0.249,0.4,1.7675,0.71,0.374,0.986,0.931,1.016,0.591,0.396,0.216,0.308,0.279,0.166
0.183,0.4,1.7325,0.695,0.365,0.995,0.93,0.993,0.604,0.382,0.22,0.32,0.285,0.178
0.233,0.52,1.67,0.6775,0.375,1.027,0.91,0.989,0.571,0.367,0.223,0.316,0.275,0.179
0.094,0.23,1.5975,0.7225,0.355,0.921,0.771,0.939,0.561,0.361,0.227,0.305,0.272,0.182
0.103,0.23,1.8815,0.775,0.38,0.966,0.853,1.025,0.591,0.376,0.232,0.318,0.297,0.183
0.142,0.24,1.56,0.7075,0.357,0.927,0.819,0.953,0.564,0.365,0.22,0.335,0.283,0.173
0.192,0.24,2.085,0.7275,0.392,1.02,0.991,1.101,0.712,0.435,0.252,0.361,0.303,0.187
0.296,0.25,2.065,0.6975,0.409,1.109,1.005,1.062,0.684,0.408,0.246,0.333,0.297,0.184
0.053,0.25,1.4375,0.725,0.352,0.923,0.765,0.921,0.519,0.357,0.22,0.258,0.252,0.169
0.252,0.26,2.23,0.7025,0.406,1.141,1.068,1.139,0.676,0.427,0.247,0.36,0.304,0.184
0.094,0.26,1.5225,0.69,0.354,0.929,0.776,0.935,0.569,0.359,0.204,0.316,0.29,0.178
0.196,0.26,2.4175,0.745,0.418,1.083,1.029,1.144,0.729,0.435,0.251,0.385,0.338,0.196
0.101,0.27,1.46,0.7225,0.341,0.885,0.728,0.911,0.536,0.368,0.238,0.278,0.263,0.174
0.165,0.27,1.5675,0.6725,0.379,0.94,0.882,0.952,0.568,0.374,0.228,0.306,0.283,0.179
0.21,0.27,2.0025,0.735,0.382,1.011,1.001,1.05,0.621,0.4,0.249,0.337,0.292,0.194
0.173,0.28,1.715,0.7525,0.356,0.921,0.835,0.983,0.573,0.378,0.217,0.322,0.277,0.177
0.312,0.28,2.0575,0.69,0.385,1.056,1.05,1.064,0.686,0.4,0.252,0.352,0.307,0.191
0.1,0.28,1.825,0.7225,0.37,0.985,0.908,1.025,0.608,0.385,0.25,0.316,0.28,0.186
0.125,0.3,1.365,0.6875,0.359,0.887,0.766,0.898,0.501,0.348,0.218,0.27,0.349,0.169
0.225,0.31,1.7725,0.715,0.362,1.011,0.924,0.993,0.594,0.39,0.246,0.301,0.282,0.182
0.094,0.31,1.5125,0.7225,0.35,0.94,0.812,0.915,0.525,0.366,0.21,0.27,0.263,0.165
0.146,0.33,1.96,0.73,0.385,1.038,0.956,1.051,0.614,0.406,0.25,0.313,0.292,0.191
0.13,0.33,1.8425,0.6875,0.407,0.989,0.921,1.035,0.64,0.373,0.235,0.335,0.306,0.197
0.151,0.34,1.4,0.705,0.36,0.892,0.834,0.896,0.524,0.356,0.204,0.283,0.262,0.165
0.273,0.34,2.1875,0.72,0.395,1.114,1.06,1.088,0.638,0.42,0.234,0.34,0.312,0.185
0.192,0.35,2.17,0.7375,0.405,1.075,0.951,1.045,0.648,0.413,0.256,0.364,0.337,0.194
0.218,0.35,1.6625,0.68,0.385,0.991,0.904,0.956,0.555,0.342,0.219,0.302,0.287,0.177
0.203,0.35,2.2475,0.7225,0.439,1.082,1.004,1.068,0.633,0.417,0.246,0.372,0.331,0.198
0.343,0.35,2.2825,0.695,0.404,1.149,1.159,1.119,0.744,0.406,0.24,0.361,0.318,0.188
0.165,0.35,1.7275,0.695,0.376,0.991,0.908,0.981,0.601,0.391,0.234,0.325,0.298,0.174
0.03,0.35,1.5225,0.6775,0.37,0.922,0.819,0.928,0.547,0.362,0.221,0.304,0.274,0.177
0.007,0.35,1.2575,0.655,0.34,0.908,0.75,0.892,0.5,0.348,0.22,0.248,0.259,0.169
0.205,0.35,1.7725,0.71,0.384,1.005,0.903,0.987,0.578,0.373,0.224,0.31,0.287,0.177
0.169,0.36,1.7625,0.715,0.387,0.982,0.903,0.999,0.592,0.377,0.215,0.324,0.284,0.178
0.253,0.36,2.2675,0.7175,0.415,1.153,1.088,1.144,0.692,0.424,0.24,0.354,0.21,0.201
0.099,0.37,1.4525,0.6925,0.36,0.968,0.794,0.892,0.503,0.348,0.222,0.31,0.269,0.169
0.131,0.37,1.51,0.67,0.353,0.926,0.832,0.964,0.6,0.381,0.22,0.315,0.266,0.167
0.299,0.37,2.4125,0.715,0.421,1.192,1.103,1.139,0.698,0.426,0.248,0.344,0.295,0.184
0.225,0.38,1.8725,0.6925,0.38,1.027,0.927,1.019,0.647,0.395,0.247,0.348,0.303,0.181
0.169,0.39,2.3475,0.745,0.428,1.095,1.045,1.099,0.695,0.431,0.258,0.391,0.325,0.199
0.266,0.39,2.1925,0.7425,0.4,1.085,1.046,1.098,0.681,0.428,0.241,0.356,0.29,0.19
1e-05,0.4,1.185,0.68,0.338,0.793,0.694,0.85,0.472,0.335,0.202,0.277,0.246,0.165
0.115,0.4,1.4575,0.6725,0.355,0.955,0.836,0.916,0.541,0.362,0.218,0.314,0.283,0.172
0.121,0.4,1.5925,0.6975,0.353,0.923,0.868,0.961,0.58,0.394,0.227,0.3,0.264,0.174
0.175,0.4,1.705,0.7425,0.377,0.989,0.904,0.955,0.554,0.389,0.224,0.305,0.289,0.177
0.086,0.4,1.675,0.715,0.394,0.895,0.837,0.981,0.573,0.397,0.226,0.329,0.293,0.182
0.236,0.41,2.3275,0.7425,0.419,1.175,1.093,1.088,0.677,0.413,0.247,0.372,0.318,0.2
0.204,0.41,2.105,0.72,0.385,1.074,0.989,1.041,0.635,0.398,0.235,0.364,0.304,0.191
0.205,0.41,2.0225,0.725,0.408,1.092,0.98,1.018,0.628,0.413,0.248,0.366,0.324,0.188
0.244,0.41,1.85,0.6825,0.38,1.034,1.012,1.031,0.615,0.404,0.229,0.334,0.292,0.185
0.114,0.41,1.53,0.6925,0.364,0.914,0.806,0.923,0.543,0.363,0.218,0.296,0.273,0.179
0.381,0.42,2.4425,0.76,0.418,1.152,1.137,1.124,0.685,0.45,0.255,0.371,0.312,0.199
0.159,0.42,1.935,0.705,0.407,1.049,0.941,1.027,0.606,0.386,0.247,0.34,0.301,0.187
0.247,0.42,2.2475,0.7475,0.385,1.067,1.057,1.118,0.653,0.433,0.26,0.337,0.299,0.185
0.228,0.42,1.6275,0.7275,0.354,0.922,0.856,0.965,0.602,0.389,0.224,0.317,0.271,0.171
0.255,0.42,1.8,0.6825,0.385,1.016,0.966,1.006,0.611,0.384,0.241,0.329,0.298,0.188
0.22,0.42,1.5625,0.69,0.355,0.978,0.86,0.962,0.577,0.386,0.24,0.312,0.273,0.174
0.177,0.42,1.68,0.715,0.365,0.92,0.897,1.01,0.623,0.38,0.223,0.308,0.278,0.169
0.066,0.42,1.6725,0.7275,0.376,0.94,0.78,0.99,0.575,0.4,0.225,0.306,0.3,0.185
0.236,0.43,1.7075,0.675,0.374,1.037,0.897,0.942,0.585,0.39,0.241,0.338,0.288,0.188
0.122,0.43,1.7825,0.7025,0.378,1.027,0.892,0.992,0.602,0.392,0.238,0.317,0.284,0.186
0.221,0.43,1.5,0.6925,0.352,0.911,0.857,0.969,0.555,0.357,0.22,0.294,0.266,0.174
0.287,0.43,2.005,0.715,0.379,1.072,1.031,1.055,0.688,0.383,0.237,0.321,0.289,0.187
0.06,0.44,1.84,0.74,0.379,1.008,0.891,1.026,0.606,0.39,0.24,0.329,0.292,0.184
0.348,0.44,2.23,0.6975,0.409,1.216,1.139,1.071,0.635,0.403,0.218,0.348,0.307,0.174
0.166,0.44,2.0875,0.73,0.419,1.056,0.963,1.02,0.633,0.398,0.241,0.373,0.231,0.194
0.329,0.44,1.66,0.655,0.391,1.006,0.939,1.001,0.589,0.376,0.214,0.331,0.295,0.173
0.328,0.47,1.95,0.725,0.402,1.027,1.013,1.017,0.607,0.394,0.233,0.367,0.316,0.184
0.096,0.47,1.605,0.7025,0.36,0.998,0.839,0.918,0.53,0.362,0.225,0.314,0.275,0.177
0.108,0.47,1.5975,0.7075,0.345,0.929,0.844,0.94,0.56,0.382,0.226,0.29,0.262,0.176
0.071,0.49,1.405,0.68,0.358,0.912,0.794,0.89,0.511,0.35,0.217,0.309,0.288,0.174
0.272,0.49,2.1625,0.745,0.402,1.156,1.04,1.09,0.637,0.403,0.232,0.368,0.31,0.189
0.195,0.49,1.6825,0.7175,0.383,0.983,0.897,0.991,0.563,0.388,0.23,0.295,0.279,0.186
0.187,0.5,1.9475,0.7075,0.39,1.037,0.976,1.042,0.6,0.409,0.255,0.327,0.3,0.19
0.195,0.5,1.7275,0.73,0.374,0.987,0.876,0.961,0.571,0.381,0.218,0.286,0.267,0.18
0.475,0.51,2.19,0.64,0.412,1.198,1.221,1.128,0.625,0.369,0.236,0.347,0.291,0.184
0.136,0.51,1.4925,0.6975,0.348,0.928,0.811,0.963,0.538,0.365,0.215,0.313,0.263,0.178
0.075,0.51,1.545,0.7,0.369,0.933,0.815,0.944,0.547,0.39,0.226,0.275,0.259,0.186
0.245,0.52,1.9925,0.7175,0.394,1.068,1,1.05,0.639,0.392,0.229,0.357,0.304,0.192
0.15,0.53,1.545,0.6925,0.376,0.939,0.887,0.945,0.537,0.362,0.22,0.285,0.257,0.171
0.124,0.54,1.5325,0.705,0.385,0.99,0.918,0.962,0.577,0.381,0.239,0.314,0.299,0.189
0.26,0.54,2.3,0.7225,0.425,1.199,1.104,1.055,0.642,0.427,0.27,0.384,0.32,0.196
0.115,0.54,1.6175,0.675,0.374,0.942,0.876,0.956,0.597,0.402,0.234,0.279,0.27,0.178
0.052,0.55,1.4225,0.6725,0.352,0.927,0.828,0.919,0.544,0.352,0.225,0.294,0.268,0.17
0.109,0.55,1.7975,0.6875,0.411,1.069,0.953,0.982,0.574,0.371,0.218,0.341,0.311,0.192
0.125,0.55,1.265,0.6675,0.334,0.888,0.782,0.875,0.508,0.33,0.197,0.253,0.22,0.158
0.148,0.55,1.695,0.6825,0.372,1.017,0.911,0.971,0.566,0.385,0.226,0.334,0.293,0.188
0.252,0.55,1.985,0.7425,0.383,1.053,0.967,1.066,0.64,0.426,0.234,0.332,0.3,0.184
0.149,0.56,1.745,0.695,0.381,1.04,0.894,0.984,0.584,0.374,0.225,0.346,0.301,0.188
0.17,0.56,1.6775,0.685,0.374,0.986,0.93,0.97,0.554,0.388,0.232,0.324,0.297,0.19
0.106,0.57,1.4775,0.6575,0.352,0.996,0.864,0.901,0.53,0.35,0.213,0.317,0.273,0.169
0.161,0.57,1.8225,0.7175,0.394,1.034,0.967,1.007,0.593,0.386,0.228,0.318,0.291,0.19
0.154,0.58,1.755,0.715,0.38,1.002,0.881,0.978,0.571,0.389,0.236,0.309,0.296,0.18
0.267,0.58,1.6175,0.6725,0.351,0.949,0.949,1.002,0.568,0.359,0.21,0.278,0.261,0.176
0.258,0.6,1.5775,0.675,0.404,0.972,0.933,0.94,0.543,0.357,0.21,0.313,0.287,0.183
0.186,0.62,1.6875,0.675,0.383,1.047,0.956,0.937,0.544,0.371,0.227,0.303,0.263,0.183
0.248,0.62,1.915,0.7225,0.406,1.04,0.982,1.011,0.593,0.403,0.23,0.326,0.285,0.19
0.273,0.63,2.1915,0.695,0.402,1.176,1.138,1.118,0.634,0.411,0.223,0.351,0.296,0.185
0.124,0.64,1.5525,0.695,0.379,0.958,0.828,0.945,0.612,0.391,0.223,0.298,0.289,0.183
0.299,0.65,1.8975,0.6575,0.408,1.064,1.005,1.005,0.592,0.381,0.24,0.359,0.305,0.191
0.17,0.65,1.275,0.6575,0.347,0.93,0.797,0.876,0.507,0.334,0.201,0.285,0.248,0.165
0.35,0.65,2.245,0.6825,0.388,1.196,1.18,1.143,0.613,0.421,0.234,0.349,0.301,0.194
0.304,0.66,2.3425,0.72,0.414,1.197,1.09,1.091,0.637,0.424,0.246,0.356,0.307,0.195
